date,state,number
2000-02-01,"ESPÍRITO SANTO",5
2000-03-01,"ESPÍRITO SANTO",1
2000-04-01,"ESPÍRITO SANTO",3
2000-05-01,"ESPÍRITO SANTO",2
2000-06-01,"ESPÍRITO SANTO",9
2000-07-01,"ESPÍRITO SANTO",16
2000-08-01,"ESPÍRITO SANTO",26
2000-09-01,"ESPÍRITO SANTO",14
2000-10-01,"ESPÍRITO SANTO",88
2000-11-01,"ESPÍRITO SANTO",3
2000-12-01,"ESPÍRITO SANTO",3
2000-01-01,"GOIÁS",10
2000-02-01,"GOIÁS",11
2000-03-01,"GOIÁS",4
2000-04-01,"GOIÁS",16
2000-05-01,"GOIÁS",58
2000-06-01,"GOIÁS",222
2000-07-01,"GOIÁS",332
2000-08-01,"GOIÁS",925
2000-09-01,"GOIÁS",1293
2000-10-01,"GOIÁS",905
2000-11-01,"GOIÁS",26
2000-12-01,"GOIÁS",6
2000-01-01,"MARANHÃO",19
2000-02-01,"MARANHÃO",11
2000-03-01,"MARANHÃO",6
2000-04-01,"MARANHÃO",6
2000-05-01,"MARANHÃO",28
2000-06-01,"MARANHÃO",94
2000-07-01,"MARANHÃO",233
2000-08-01,"MARANHÃO",839
2000-09-01,"MARANHÃO",1365
2000-10-01,"MARANHÃO",2654
2000-11-01,"MARANHÃO",2267
2000-12-01,"MARANHÃO",1461
2000-01-01,"MATO GROSSO",326
2000-02-01,"MATO GROSSO",81
2000-03-01,"MATO GROSSO",23
2000-04-01,"MATO GROSSO",90
2000-05-01,"MATO GROSSO",127
2000-06-01,"MATO GROSSO",157
2000-07-01,"MATO GROSSO",160
2000-08-01,"MATO GROSSO",530
2000-09-01,"MATO GROSSO",510
2000-10-01,"MATO GROSSO",657
2000-11-01,"MATO GROSSO",274
2000-12-01,"MATO GROSSO",139
2000-01-01,"MATO GROSSO DO SUL",44
2000-02-01,"MATO GROSSO DO SUL",35
2000-03-01,"MATO GROSSO DO SUL",60
2000-04-01,"MATO GROSSO DO SUL",59
2000-05-01,"MATO GROSSO DO SUL",1194
2000-06-01,"MATO GROSSO DO SUL",4358
2000-07-01,"MATO GROSSO DO SUL",1338
2000-08-01,"MATO GROSSO DO SUL",6063
2000-09-01,"MATO GROSSO DO SUL",6251
2000-10-01,"MATO GROSSO DO SUL",6062
2000-11-01,"MATO GROSSO DO SUL",502
2000-12-01,"MATO GROSSO DO SUL",98
2000-01-01,"MINAS GERAIS",24
2000-02-01,"MINAS GERAIS",20
2000-03-01,"MINAS GERAIS",24
2000-04-01,"MINAS GERAIS",49
2000-05-01,"MINAS GERAIS",67
2000-06-01,"MINAS GERAIS",135
2000-07-01,"MINAS GERAIS",345
2000-08-01,"MINAS GERAIS",769
2000-09-01,"MINAS GERAIS",1080
2000-10-01,"MINAS GERAIS",1954
2000-11-01,"MINAS GERAIS",43
2000-12-01,"MINAS GERAIS",14
2000-01-01,"PARANÁ",49
2000-02-01,"PARANÁ",67
2000-03-01,"PARANÁ",52
2000-04-01,"PARANÁ",51
2000-05-01,"PARANÁ",43
2000-06-01,"PARANÁ",53
2000-07-01,"PARANÁ",98
2000-08-01,"PARANÁ",849
2000-09-01,"PARANÁ",381
2000-10-01,"PARANÁ",658
2000-11-01,"PARANÁ",85
2000-12-01,"PARANÁ",159
2000-01-01,"PARAÍBA",0
2000-02-01,"PARAÍBA",11
2000-03-01,"PARAÍBA",5
2000-04-01,"PARAÍBA",1
2000-05-01,"PARAÍBA",0
2000-06-01,"PARAÍBA",2
2000-07-01,"PARAÍBA",0
2000-08-01,"PARAÍBA",7
2000-09-01,"PARAÍBA",9
2000-10-01,"PARAÍBA",125
2000-11-01,"PARAÍBA",65
2000-12-01,"PARAÍBA",34
2000-01-01,"PARÁ",30
2000-02-01,"PARÁ",29
2000-03-01,"PARÁ",181
2000-04-01,"PARÁ",40
2000-05-01,"PARÁ",12
2000-06-01,"PARÁ",59
2000-07-01,"PARÁ",426
2000-08-01,"PARÁ",5484
2000-09-01,"PARÁ",2569
2000-10-01,"PARÁ",4313
2000-11-01,"PARÁ",3366
2000-12-01,"PARÁ",1698
2000-01-01,"PERNAMBUCO",3
2000-02-01,"PERNAMBUCO",4
2000-03-01,"PERNAMBUCO",14
2000-04-01,"PERNAMBUCO",1
2000-05-01,"PERNAMBUCO",7
2000-06-01,"PERNAMBUCO",4
2000-07-01,"PERNAMBUCO",0
2000-08-01,"PERNAMBUCO",31
2000-09-01,"PERNAMBUCO",130
2000-10-01,"PERNAMBUCO",411
2000-11-01,"PERNAMBUCO",64
2000-12-01,"PERNAMBUCO",22
2000-01-01,"PIAUÍ",5
2000-02-01,"PIAUÍ",12
2000-03-01,"PIAUÍ",14
2000-04-01,"PIAUÍ",15
2000-05-01,"PIAUÍ",25
2000-06-01,"PIAUÍ",18
2000-07-01,"PIAUÍ",75
2000-08-01,"PIAUÍ",415
2000-09-01,"PIAUÍ",1099
2000-10-01,"PIAUÍ",2558
2000-11-01,"PIAUÍ",450
2000-12-01,"PIAUÍ",79
2000-01-01,"RIO DE JANEIRO",0
2000-02-01,"RIO DE JANEIRO",1
2000-03-01,"RIO DE JANEIRO",0
2000-04-01,"RIO DE JANEIRO",2
2000-05-01,"RIO DE JANEIRO",5
2000-06-01,"RIO DE JANEIRO",14
2000-07-01,"RIO DE JANEIRO",22
2000-08-01,"RIO DE JANEIRO",34
2000-09-01,"RIO DE JANEIRO",16
2000-10-01,"RIO DE JANEIRO",25
2000-11-01,"RIO DE JANEIRO",2
2000-12-01,"RIO DE JANEIRO",0
2000-01-01,"RIO GRANDE DO NORTE",1
2000-02-01,"RIO GRANDE DO NORTE",7
2000-03-01,"RIO GRANDE DO NORTE",11
2000-04-01,"RIO GRANDE DO NORTE",16
2000-05-01,"RIO GRANDE DO NORTE",3
2000-06-01,"RIO GRANDE DO NORTE",8
2000-07-01,"RIO GRANDE DO NORTE",5
2000-08-01,"RIO GRANDE DO NORTE",29
2000-09-01,"RIO GRANDE DO NORTE",17
2000-10-01,"RIO GRANDE DO NORTE",28
2000-11-01,"RIO GRANDE DO NORTE",9
2000-12-01,"RIO GRANDE DO NORTE",11
2000-01-01,"RIO GRANDE DO SUL",126
2000-02-01,"RIO GRANDE DO SUL",43
2000-03-01,"RIO GRANDE DO SUL",51
2000-04-01,"RIO GRANDE DO SUL",1
2000-05-01,"RIO GRANDE DO SUL",4
2000-06-01,"RIO GRANDE DO SUL",0
2000-07-01,"RIO GRANDE DO SUL",6
2000-08-01,"RIO GRANDE DO SUL",18
2000-09-01,"RIO GRANDE DO SUL",27
2000-10-01,"RIO GRANDE DO SUL",10
2000-11-01,"RIO GRANDE DO SUL",18
2000-12-01,"RIO GRANDE DO SUL",80
2000-01-01,"RONDÔNIA",0
2000-02-01,"RONDÔNIA",6
2000-03-01,"RONDÔNIA",9
2000-04-01,"RONDÔNIA",0
2000-05-01,"RONDÔNIA",13
2000-06-01,"RONDÔNIA",54
2000-07-01,"RONDÔNIA",117
2000-08-01,"RONDÔNIA",2197
2000-09-01,"RONDÔNIA",2438
2000-10-01,"RONDÔNIA",644
2000-11-01,"RONDÔNIA",13
2000-12-01,"RONDÔNIA",7
2000-01-01,"RORAIMA",18
2000-02-01,"RORAIMA",57
2000-03-01,"RORAIMA",125
2000-04-01,"RORAIMA",0
2000-05-01,"RORAIMA",7
2000-06-01,"RORAIMA",0
2000-07-01,"RORAIMA",0
2000-08-01,"RORAIMA",9
2000-09-01,"RORAIMA",12
2000-10-01,"RORAIMA",25
2000-11-01,"RORAIMA",32
2000-12-01,"RORAIMA",77
2000-01-01,"SANTA CATARINA",14
2000-02-01,"SANTA CATARINA",8
2000-03-01,"SANTA CATARINA",46
2000-04-01,"SANTA CATARINA",7
2000-05-01,"SANTA CATARINA",0
2000-06-01,"SANTA CATARINA",2
2000-07-01,"SANTA CATARINA",21
2000-08-01,"SANTA CATARINA",69
2000-09-01,"SANTA CATARINA",36
2000-10-01,"SANTA CATARINA",55
2000-11-01,"SANTA CATARINA",19
2000-12-01,"SANTA CATARINA",29
2000-01-01,"SERGIPE",1
2000-02-01,"SERGIPE",6
2000-03-01,"SERGIPE",6
2000-04-01,"SERGIPE",1
2000-05-01,"SERGIPE",0
2000-06-01,"SERGIPE",0
2000-07-01,"SERGIPE",0
2000-08-01,"SERGIPE",0
2000-09-01,"SERGIPE",0
2000-10-01,"SERGIPE",3
2000-11-01,"SERGIPE",0
2000-12-01,"SERGIPE",0
2000-01-01,"SÃO PAULO",36
2000-02-01,"SÃO PAULO",25
2000-03-01,"SÃO PAULO",26
2000-04-01,"SÃO PAULO",102
2000-05-01,"SÃO PAULO",300
2000-06-01,"SÃO PAULO",606
2000-07-01,"SÃO PAULO",770
2000-08-01,"SÃO PAULO",915
2000-09-01,"SÃO PAULO",582
2000-10-01,"SÃO PAULO",647
2000-11-01,"SÃO PAULO",96
2000-12-01,"SÃO PAULO",23
2000-01-01,"TOCANTINS",15
2000-02-01,"TOCANTINS",6
2000-03-01,"TOCANTINS",4
2000-04-01,"TOCANTINS",0
2000-05-01,"TOCANTINS",69
2000-06-01,"TOCANTINS",278
2000-07-01,"TOCANTINS",500
2000-08-01,"TOCANTINS",1949
2000-09-01,"TOCANTINS",2552
2000-10-01,"TOCANTINS",1053
2000-11-01,"TOCANTINS",96
2000-12-01,"TOCANTINS",20
2001-01-01,"ACRE",0
2001-02-01,"ACRE",0
2001-03-01,"ACRE",0
2001-04-01,"ACRE",0
2001-05-01,"ACRE",0
2001-06-01,"ACRE",1
2001-07-01,"ACRE",3
2001-08-01,"ACRE",396
2001-09-01,"ACRE",290
2001-10-01,"ACRE",137
2001-11-01,"ACRE",1
2001-12-01,"ACRE",0
2001-01-01,"ALAGOAS",5
2001-02-01,"ALAGOAS",4
2001-03-01,"ALAGOAS",0
2001-04-01,"ALAGOAS",0
2001-05-01,"ALAGOAS",2
2001-06-01,"ALAGOAS",2
2001-07-01,"ALAGOAS",0
2001-08-01,"ALAGOAS",1
2001-09-01,"ALAGOAS",5
2001-10-01,"ALAGOAS",15
2001-11-01,"ALAGOAS",22
2001-12-01,"ALAGOAS",30
2001-01-01,"AMAPÁ",0
2001-02-01,"AMAPÁ",0
2001-03-01,"AMAPÁ",0
2001-04-01,"AMAPÁ",0
2001-05-01,"AMAPÁ",0
2001-06-01,"AMAPÁ",0
2001-07-01,"AMAPÁ",1
2001-08-01,"AMAPÁ",12
2001-09-01,"AMAPÁ",95
2001-10-01,"AMAPÁ",194
2001-11-01,"AMAPÁ",406
2001-12-01,"AMAPÁ",593
2001-01-01,"AMAZONAS",3
2001-02-01,"AMAZONAS",8
2001-03-01,"AMAZONAS",6
2001-04-01,"AMAZONAS",1
2001-05-01,"AMAZONAS",0
2001-06-01,"AMAZONAS",5
2001-07-01,"AMAZONAS",9
2001-08-01,"AMAZONAS",501
2001-09-01,"AMAZONAS",166
2001-10-01,"AMAZONAS",332
2001-11-01,"AMAZONAS",244
2001-12-01,"AMAZONAS",22
2001-01-01,"BAHIA",24
2001-02-01,"BAHIA",101
2001-03-01,"BAHIA",4
2001-04-01,"BAHIA",26
2001-05-01,"BAHIA",85
2001-06-01,"BAHIA",98
2001-07-01,"BAHIA",248
2001-08-01,"BAHIA",979
2001-09-01,"BAHIA",3964
2001-10-01,"BAHIA",1687
2001-11-01,"BAHIA",699
2001-12-01,"BAHIA",158
2001-01-01,"CEARÁ",11
2001-02-01,"CEARÁ",0
2001-03-01,"CEARÁ",0
2001-04-01,"CEARÁ",2
2001-05-01,"CEARÁ",81
2001-06-01,"CEARÁ",38
2001-07-01,"CEARÁ",146
2001-08-01,"CEARÁ",219
2001-09-01,"CEARÁ",801
2001-10-01,"CEARÁ",2045
2001-11-01,"CEARÁ",2456
2001-12-01,"CEARÁ",545
2001-01-01,"DISTRITO FEDERAL",0
2001-02-01,"DISTRITO FEDERAL",1
2001-03-01,"DISTRITO FEDERAL",0
2001-04-01,"DISTRITO FEDERAL",0
2001-05-01,"DISTRITO FEDERAL",0
2001-06-01,"DISTRITO FEDERAL",3
2001-07-01,"DISTRITO FEDERAL",22
2001-08-01,"DISTRITO FEDERAL",25
2001-09-01,"DISTRITO FEDERAL",12
2001-10-01,"DISTRITO FEDERAL",0
2001-11-01,"DISTRITO FEDERAL",0
2001-12-01,"DISTRITO FEDERAL",1
2001-01-01,"ESPÍRITO SANTO",1
2001-02-01,"ESPÍRITO SANTO",5
2001-03-01,"ESPÍRITO SANTO",2
2001-04-01,"ESPÍRITO SANTO",2
2001-05-01,"ESPÍRITO SANTO",8
2001-06-01,"ESPÍRITO SANTO",9
2001-07-01,"ESPÍRITO SANTO",12
2001-08-01,"ESPÍRITO SANTO",30
2001-09-01,"ESPÍRITO SANTO",38
2001-10-01,"ESPÍRITO SANTO",19
2001-11-01,"ESPÍRITO SANTO",3
2001-12-01,"ESPÍRITO SANTO",1
2001-01-01,"GOIÁS",29
2001-02-01,"GOIÁS",9
2001-03-01,"GOIÁS",10
2001-04-01,"GOIÁS",49
2001-05-01,"GOIÁS",85
2001-06-01,"GOIÁS",212
2001-07-01,"GOIÁS",371
2001-08-01,"GOIÁS",787
2001-09-01,"GOIÁS",1863
2001-10-01,"GOIÁS",479
2001-11-01,"GOIÁS",15
2001-12-01,"GOIÁS",18
2001-01-01,"MARANHÃO",29
2001-02-01,"MARANHÃO",1
2001-03-01,"MARANHÃO",0
2001-04-01,"MARANHÃO",2
2001-05-01,"MARANHÃO",21
2001-06-01,"MARANHÃO",100
2001-07-01,"MARANHÃO",549
2001-08-01,"MARANHÃO",2037
2001-09-01,"MARANHÃO",4618
2001-10-01,"MARANHÃO",6661
2001-11-01,"MARANHÃO",3525
2001-12-01,"MARANHÃO",1296
2001-01-01,"MATO GROSSO",97
2001-02-01,"MATO GROSSO",89
2001-03-01,"MATO GROSSO",39
2001-04-01,"MATO GROSSO",108
2001-05-01,"MATO GROSSO",112
2001-06-01,"MATO GROSSO",249
2001-07-01,"MATO GROSSO",591
2001-08-01,"MATO GROSSO",2484
2001-09-01,"MATO GROSSO",1383
2001-10-01,"MATO GROSSO",563
2001-11-01,"MATO GROSSO",220
2001-12-01,"MATO GROSSO",143
2001-01-01,"MATO GROSSO DO SUL",44
2001-02-01,"MATO GROSSO DO SUL",54
2001-03-01,"MATO GROSSO DO SUL",24
2001-04-01,"MATO GROSSO DO SUL",309
2001-05-01,"MATO GROSSO DO SUL",1193
2001-06-01,"MATO GROSSO DO SUL",6665
2001-07-01,"MATO GROSSO DO SUL",1555
2001-08-01,"MATO GROSSO DO SUL",7762
2001-09-01,"MATO GROSSO DO SUL",8490
2001-10-01,"MATO GROSSO DO SUL",6543
2001-11-01,"MATO GROSSO DO SUL",373
2001-12-01,"MATO GROSSO DO SUL",37
2001-01-01,"MINAS GERAIS",18
2001-02-01,"MINAS GERAIS",39
2001-03-01,"MINAS GERAIS",13
2001-04-01,"MINAS GERAIS",60
2001-05-01,"MINAS GERAIS",83
2001-06-01,"MINAS GERAIS",166
2001-07-01,"MINAS GERAIS",266
2001-08-01,"MINAS GERAIS",858
2001-09-01,"MINAS GERAIS",1597
2001-10-01,"MINAS GERAIS",528
2001-11-01,"MINAS GERAIS",62
2001-12-01,"MINAS GERAIS",44
2001-01-01,"PARANÁ",32
2001-02-01,"PARANÁ",8
2001-03-01,"PARANÁ",12
2001-04-01,"PARANÁ",43
2001-05-01,"PARANÁ",26
2001-06-01,"PARANÁ",43
2001-07-01,"PARANÁ",122
2001-08-01,"PARANÁ",342
2001-09-01,"PARANÁ",258
2001-10-01,"PARANÁ",209
2001-11-01,"PARANÁ",89
2001-12-01,"PARANÁ",85
2001-01-01,"PARAÍBA",11
2001-02-01,"PARAÍBA",6
2001-03-01,"PARAÍBA",0
2001-04-01,"PARAÍBA",0
2001-05-01,"PARAÍBA",4
2001-06-01,"PARAÍBA",0
2001-07-01,"PARAÍBA",8
2001-08-01,"PARAÍBA",34
2001-09-01,"PARAÍBA",98
2001-10-01,"PARAÍBA",279
2001-11-01,"PARAÍBA",294
2001-12-01,"PARAÍBA",70
2001-01-01,"PARÁ",34
2001-02-01,"PARÁ",16
2001-03-01,"PARÁ",0
2001-04-01,"PARÁ",0
2001-05-01,"PARÁ",7
2001-06-01,"PARÁ",42
2001-07-01,"PARÁ",708
2001-08-01,"PARÁ",9043
2001-09-01,"PARÁ",6139
2001-10-01,"PARÁ",5096
2001-11-01,"PARÁ",4938
2001-12-01,"PARÁ",2564
2001-01-01,"PERNAMBUCO",7
2001-02-01,"PERNAMBUCO",2
2001-03-01,"PERNAMBUCO",0
2001-04-01,"PERNAMBUCO",2
2001-05-01,"PERNAMBUCO",5
2001-06-01,"PERNAMBUCO",2
2001-07-01,"PERNAMBUCO",6
2001-08-01,"PERNAMBUCO",27
2001-09-01,"PERNAMBUCO",298
2001-10-01,"PERNAMBUCO",461
2001-11-01,"PERNAMBUCO",208
2001-12-01,"PERNAMBUCO",62
2001-01-01,"PIAUÍ",29
2001-02-01,"PIAUÍ",0
2001-03-01,"PIAUÍ",2
2001-04-01,"PIAUÍ",1
2001-05-01,"PIAUÍ",36
2001-06-01,"PIAUÍ",87
2001-07-01,"PIAUÍ",337
2001-08-01,"PIAUÍ",1133
2001-09-01,"PIAUÍ",2401
2001-10-01,"PIAUÍ",3742
2001-11-01,"PIAUÍ",1484
2001-12-01,"PIAUÍ",230
2001-01-01,"RIO DE JANEIRO",0
2001-02-01,"RIO DE JANEIRO",3
2001-03-01,"RIO DE JANEIRO",0
2001-04-01,"RIO DE JANEIRO",2
2001-05-01,"RIO DE JANEIRO",4
2001-06-01,"RIO DE JANEIRO",13
2001-07-01,"RIO DE JANEIRO",57
2001-08-01,"RIO DE JANEIRO",129
2001-09-01,"RIO DE JANEIRO",60
2001-10-01,"RIO DE JANEIRO",33
2001-11-01,"RIO DE JANEIRO",4
2001-12-01,"RIO DE JANEIRO",2
2001-01-01,"RIO GRANDE DO NORTE",2
2001-02-01,"RIO GRANDE DO NORTE",0
2001-03-01,"RIO GRANDE DO NORTE",0
2001-04-01,"RIO GRANDE DO NORTE",10
2001-05-01,"RIO GRANDE DO NORTE",56
2001-06-01,"RIO GRANDE DO NORTE",13
2001-07-01,"RIO GRANDE DO NORTE",25
2001-08-01,"RIO GRANDE DO NORTE",55
2001-09-01,"RIO GRANDE DO NORTE",45
2001-10-01,"RIO GRANDE DO NORTE",34
2001-11-01,"RIO GRANDE DO NORTE",41
2001-12-01,"RIO GRANDE DO NORTE",20
2001-01-01,"RIO GRANDE DO SUL",12
2001-02-01,"RIO GRANDE DO SUL",32
2001-03-01,"RIO GRANDE DO SUL",11
2001-04-01,"RIO GRANDE DO SUL",3
2001-05-01,"RIO GRANDE DO SUL",4
2001-06-01,"RIO GRANDE DO SUL",1
2001-07-01,"RIO GRANDE DO SUL",6
2001-08-01,"RIO GRANDE DO SUL",36
2001-09-01,"RIO GRANDE DO SUL",2
2001-10-01,"RIO GRANDE DO SUL",13
2001-11-01,"RIO GRANDE DO SUL",49
2001-12-01,"RIO GRANDE DO SUL",80
2001-01-01,"RONDÔNIA",0
2001-02-01,"RONDÔNIA",2
2001-03-01,"RONDÔNIA",0
2001-04-01,"RONDÔNIA",0
2001-05-01,"RONDÔNIA",5
2001-06-01,"RONDÔNIA",31
2001-07-01,"RONDÔNIA",74
2001-08-01,"RONDÔNIA",2132
2001-09-01,"RONDÔNIA",1927
2001-10-01,"RONDÔNIA",796
2001-11-01,"RONDÔNIA",91
2001-12-01,"RONDÔNIA",1
2001-01-01,"RORAIMA",101
2001-02-01,"RORAIMA",646
2001-03-01,"RORAIMA",1108
2001-04-01,"RORAIMA",380
2001-05-01,"RORAIMA",9
2001-06-01,"RORAIMA",1
2001-07-01,"RORAIMA",1
2001-08-01,"RORAIMA",4
2001-09-01,"RORAIMA",1
2001-10-01,"RORAIMA",13
2001-11-01,"RORAIMA",76
2001-12-01,"RORAIMA",76
2001-01-01,"SANTA CATARINA",11
2001-02-01,"SANTA CATARINA",0
2001-03-01,"SANTA CATARINA",1
2001-04-01,"SANTA CATARINA",1
2001-05-01,"SANTA CATARINA",2
2001-06-01,"SANTA CATARINA",1
2001-07-01,"SANTA CATARINA",5
2001-08-01,"SANTA CATARINA",24
2001-09-01,"SANTA CATARINA",18
2001-10-01,"SANTA CATARINA",26
2001-11-01,"SANTA CATARINA",66
2001-12-01,"SANTA CATARINA",45
2001-01-01,"SERGIPE",2
2001-02-01,"SERGIPE",2
2001-03-01,"SERGIPE",1
2001-04-01,"SERGIPE",0
2001-05-01,"SERGIPE",3
2001-06-01,"SERGIPE",0
2001-07-01,"SERGIPE",0
2001-08-01,"SERGIPE",0
2001-09-01,"SERGIPE",1
2001-10-01,"SERGIPE",5
2001-11-01,"SERGIPE",5
2001-12-01,"SERGIPE",5
2001-01-01,"SÃO PAULO",26
2001-02-01,"SÃO PAULO",25
2001-03-01,"SÃO PAULO",35
2001-04-01,"SÃO PAULO",61
2001-05-01,"SÃO PAULO",211
2001-06-01,"SÃO PAULO",346
2001-07-01,"SÃO PAULO",538
2001-08-01,"SÃO PAULO",595
2001-09-01,"SÃO PAULO",425
2001-10-01,"SÃO PAULO",444
2001-11-01,"SÃO PAULO",168
2001-12-01,"SÃO PAULO",52
2001-01-01,"TOCANTINS",19
2001-02-01,"TOCANTINS",6
2001-03-01,"TOCANTINS",0
2001-04-01,"TOCANTINS",19
2001-05-01,"TOCANTINS",48
2001-06-01,"TOCANTINS",305
2001-07-01,"TOCANTINS",830
2001-08-01,"TOCANTINS",2242
2001-09-01,"TOCANTINS",4839
2001-10-01,"TOCANTINS",684
2001-11-01,"TOCANTINS",100
2001-12-01,"TOCANTINS",21
2002-01-01,"ACRE",0
2002-02-01,"ACRE",1
2002-03-01,"ACRE",0
2002-04-01,"ACRE",0
2002-05-01,"ACRE",0
2002-06-01,"ACRE",0
2002-07-01,"ACRE",39
2002-08-01,"ACRE",728
2002-09-01,"ACRE",1949
2002-10-01,"ACRE",687
2002-11-01,"ACRE",86
2002-12-01,"ACRE",1
2002-01-01,"ALAGOAS",12
2002-02-01,"ALAGOAS",15
2002-03-01,"ALAGOAS",27
2002-04-01,"ALAGOAS",6
2002-05-01,"ALAGOAS",1
2002-06-01,"ALAGOAS",0
2002-07-01,"ALAGOAS",5
2002-08-01,"ALAGOAS",3
2002-09-01,"ALAGOAS",14
2002-10-01,"ALAGOAS",30
2002-11-01,"ALAGOAS",50
2002-12-01,"ALAGOAS",95
2002-01-01,"AMAPÁ",7
2002-02-01,"AMAPÁ",2
2002-03-01,"AMAPÁ",0
2002-04-01,"AMAPÁ",0
2002-05-01,"AMAPÁ",3
2002-06-01,"AMAPÁ",0
2002-07-01,"AMAPÁ",1
2002-08-01,"AMAPÁ",18
2002-09-01,"AMAPÁ",73
2002-10-01,"AMAPÁ",557
2002-11-01,"AMAPÁ",1096
2002-12-01,"AMAPÁ",200
2002-01-01,"AMAZONAS",17
2002-02-01,"AMAZONAS",2
2002-03-01,"AMAZONAS",5
2002-04-01,"AMAZONAS",2
2002-05-01,"AMAZONAS",8
2002-06-01,"AMAZONAS",5
2002-07-01,"AMAZONAS",146
2002-08-01,"AMAZONAS",741
2002-09-01,"AMAZONAS",928
2002-10-01,"AMAZONAS",695
2002-11-01,"AMAZONAS",259
2002-12-01,"AMAZONAS",44
2002-01-01,"BAHIA",125
2002-02-01,"BAHIA",204
2002-03-01,"BAHIA",146
2002-04-01,"BAHIA",110
2002-05-01,"BAHIA",166
2002-06-01,"BAHIA",118
2002-07-01,"BAHIA",549
2002-08-01,"BAHIA",1827
2002-09-01,"BAHIA",6439
2002-10-01,"BAHIA",5414
2002-11-01,"BAHIA",1020
2002-12-01,"BAHIA",848
2002-01-01,"CEARÁ",33
2002-02-01,"CEARÁ",75
2002-03-01,"CEARÁ",17
2002-04-01,"CEARÁ",5
2002-05-01,"CEARÁ",10
2002-06-01,"CEARÁ",13
2002-07-01,"CEARÁ",12
2002-08-01,"CEARÁ",111
2002-09-01,"CEARÁ",172
2002-10-01,"CEARÁ",1606
2002-11-01,"CEARÁ",2715
2002-12-01,"CEARÁ",1787
2002-01-01,"DISTRITO FEDERAL",0
2002-02-01,"DISTRITO FEDERAL",0
2002-03-01,"DISTRITO FEDERAL",0
2002-04-01,"DISTRITO FEDERAL",1
2002-05-01,"DISTRITO FEDERAL",1
2002-06-01,"DISTRITO FEDERAL",7
2002-07-01,"DISTRITO FEDERAL",33
2002-08-01,"DISTRITO FEDERAL",53
2002-09-01,"DISTRITO FEDERAL",33
2002-10-01,"DISTRITO FEDERAL",19
2002-11-01,"DISTRITO FEDERAL",1
2002-12-01,"DISTRITO FEDERAL",1
2002-01-01,"ESPÍRITO SANTO",2
2002-02-01,"ESPÍRITO SANTO",4
2002-03-01,"ESPÍRITO SANTO",4
2002-04-01,"ESPÍRITO SANTO",2
2002-05-01,"ESPÍRITO SANTO",5
2002-06-01,"ESPÍRITO SANTO",18
2002-07-01,"ESPÍRITO SANTO",9
2002-08-01,"ESPÍRITO SANTO",60
2002-09-01,"ESPÍRITO SANTO",46
2002-10-01,"ESPÍRITO SANTO",113
2002-11-01,"ESPÍRITO SANTO",22
2002-12-01,"ESPÍRITO SANTO",12
2002-01-01,"GOIÁS",12
2002-02-01,"GOIÁS",9
2002-03-01,"GOIÁS",48
2002-04-01,"GOIÁS",78
2002-05-01,"GOIÁS",171
2002-06-01,"GOIÁS",302
2002-07-01,"GOIÁS",686
2002-08-01,"GOIÁS",1428
2002-09-01,"GOIÁS",3520
2002-10-01,"GOIÁS",1367
2002-11-01,"GOIÁS",192
2002-12-01,"GOIÁS",115
2002-01-01,"MARANHÃO",48
2002-02-01,"MARANHÃO",116
2002-03-01,"MARANHÃO",16
2002-04-01,"MARANHÃO",28
2002-05-01,"MARANHÃO",71
2002-06-01,"MARANHÃO",230
2002-07-01,"MARANHÃO",1271
2002-08-01,"MARANHÃO",3481
2002-09-01,"MARANHÃO",3181
2002-10-01,"MARANHÃO",5182
2002-11-01,"MARANHÃO",5830
2002-12-01,"MARANHÃO",2165
2002-01-01,"MATO GROSSO",304
2002-02-01,"MATO GROSSO",98
2002-03-01,"MATO GROSSO",115
2002-04-01,"MATO GROSSO",230
2002-05-01,"MATO GROSSO",88
2002-06-01,"MATO GROSSO",517
2002-07-01,"MATO GROSSO",935
2002-08-01,"MATO GROSSO",3984
2002-09-01,"MATO GROSSO",2252
2002-10-01,"MATO GROSSO",2173
2002-11-01,"MATO GROSSO",1470
2002-12-01,"MATO GROSSO",376
2002-01-01,"MATO GROSSO DO SUL",172
2002-02-01,"MATO GROSSO DO SUL",22
2002-03-01,"MATO GROSSO DO SUL",103
2002-04-01,"MATO GROSSO DO SUL",641
2002-05-01,"MATO GROSSO DO SUL",2528
2002-06-01,"MATO GROSSO DO SUL",7878
2002-07-01,"MATO GROSSO DO SUL",5661
2002-08-01,"MATO GROSSO DO SUL",14086
2002-09-01,"MATO GROSSO DO SUL",11034
2002-10-01,"MATO GROSSO DO SUL",9375
2002-11-01,"MATO GROSSO DO SUL",2905
2002-12-01,"MATO GROSSO DO SUL",1157
2002-01-01,"MINAS GERAIS",29
2002-02-01,"MINAS GERAIS",62
2002-03-01,"MINAS GERAIS",62
2002-04-01,"MINAS GERAIS",99
2002-05-01,"MINAS GERAIS",98
2002-06-01,"MINAS GERAIS",207
2002-07-01,"MINAS GERAIS",741
2002-08-01,"MINAS GERAIS",2041
2002-09-01,"MINAS GERAIS",3100
2002-10-01,"MINAS GERAIS",4788
2002-11-01,"MINAS GERAIS",417
2002-12-01,"MINAS GERAIS",225
2002-01-01,"PARANÁ",47
2002-02-01,"PARANÁ",24
2002-03-01,"PARANÁ",18
2002-04-01,"PARANÁ",84
2002-05-01,"PARANÁ",65
