number,date,state
82,2010-01-01,"Amazonas"
81,2010-02-01,"Amazonas"
116,2010-03-01,"Amazonas"
11,2010-04-01,"Amazonas"
13,2010-05-01,"Amazonas"
9,2010-06-01,"Amazonas"
640,2010-07-01,"Amazonas"
3727,2010-08-01,"Amazonas"
2781,2010-09-01,"Amazonas"
889,2010-10-01,"Amazonas"
354,2010-11-01,"Amazonas"
123,2010-12-01,"Amazonas"
53,2011-01-01,"Amazonas"
30,2011-02-01,"Amazonas"
49,2011-03-01,"Amazonas"
5,2011-04-01,"Amazonas"
6,2011-05-01,"Amazonas"
22,2011-06-01,"Amazonas"
271,2011-07-01,"Amazonas"
1243,2011-08-01,"Amazonas"
1295,2011-09-01,"Amazonas"
694,2011-10-01,"Amazonas"
399,2011-11-01,"Amazonas"
121,2011-12-01,"Amazonas"
6,2012-01-01,"Amazonas"
25,2012-02-01,"Amazonas"
17,2012-03-01,"Amazonas"
3,2012-04-01,"Amazonas"
12,2012-05-01,"Amazonas"
45,2012-06-01,"Amazonas"
234,2012-07-01,"Amazonas"
3011,2012-08-01,"Amazonas"
2392,2012-09-01,"Amazonas"
1238,2012-10-01,"Amazonas"
682,2012-11-01,"Amazonas"
80,2012-12-01,"Amazonas"
37,2013-01-01,"Amazonas"
16,2013-02-01,"Amazonas"
49,2013-03-01,"Amazonas"
20,2013-04-01,"Amazonas"
19,2013-05-01,"Amazonas"
56,2013-06-01,"Amazonas"
248,2013-07-01,"Amazonas"
1276,2013-08-01,"Amazonas"
1739,2013-09-01,"Amazonas"
1202,2013-10-01,"Amazonas"
220,2013-11-01,"Amazonas"
236,2013-12-01,"Amazonas"
46,2014-01-01,"Amazonas"
49,2014-02-01,"Amazonas"
50,2014-03-01,"Amazonas"
25,2014-04-01,"Amazonas"
12,2014-05-01,"Amazonas"
74,2014-06-01,"Amazonas"
202,2014-07-01,"Amazonas"
3852,2014-08-01,"Amazonas"
3057,2014-09-01,"Amazonas"
952,2014-10-01,"Amazonas"
676,2014-11-01,"Amazonas"
293,2014-12-01,"Amazonas"
35,2015-01-01,"Amazonas"
107,2015-02-01,"Amazonas"
46,2015-03-01,"Amazonas"
24,2015-04-01,"Amazonas"
10,2015-05-01,"Amazonas"
33,2015-06-01,"Amazonas"
356,2015-07-01,"Amazonas"
4564,2015-08-01,"Amazonas"
5882,2015-09-01,"Amazonas"
2494,2015-10-01,"Amazonas"
1054,2015-11-01,"Amazonas"
565,2015-12-01,"Amazonas"
770,2016-01-01,"Amazonas"
275,2016-02-01,"Amazonas"
140,2016-03-01,"Amazonas"
22,2016-04-01,"Amazonas"
30,2016-05-01,"Amazonas"
90,2016-06-01,"Amazonas"
1137,2016-07-01,"Amazonas"
3611,2016-08-01,"Amazonas"
3119,2016-09-01,"Amazonas"
2105,2016-10-01,"Amazonas"
591,2016-11-01,"Amazonas"
133,2016-12-01,"Amazonas"
65,2017-01-01,"Amazonas"
52,2017-02-01,"Amazonas"
45,2017-03-01,"Amazonas"
20,2017-04-01,"Amazonas"
40,2017-05-01,"Amazonas"
119,2017-06-01,"Amazonas"
1975,2017-07-01,"Amazonas"
6316,2017-08-01,"Amazonas"
4033,2017-09-01,"Amazonas"
1581,2017-10-01,"Amazonas"
552,2017-11-01,"Amazonas"
0,1998-01-01,"Bahia"
0,1998-02-01,"Bahia"
0,1998-03-01,"Bahia"
0,1998-04-01,"Bahia"
0,1998-05-01,"Bahia"
55,1998-06-01,"Bahia"
219,1998-07-01,"Bahia"
815,1998-08-01,"Bahia"
2718,1998-09-01,"Bahia"
1969,1998-10-01,"Bahia"
49,1998-11-01,"Bahia"
82,1998-12-01,"Bahia"
114,1999-01-01,"Bahia"
157,1999-02-01,"Bahia"
83,1999-03-01,"Bahia"
55,1999-04-01,"Bahia"
76,1999-05-01,"Bahia"
64,1999-06-01,"Bahia"
107,1999-07-01,"Bahia"
453,1999-08-01,"Bahia"
1275,1999-09-01,"Bahia"
1307,1999-10-01,"Bahia"
49,1999-11-01,"Bahia"
37,1999-12-01,"Bahia"
31,2000-01-01,"Bahia"
32,2000-02-01,"Bahia"
65,2000-03-01,"Bahia"
23,2000-04-01,"Bahia"
71,2000-05-01,"Bahia"
178,2000-06-01,"Bahia"
202,2000-07-01,"Bahia"
633,2000-08-01,"Bahia"
2285,2000-09-01,"Bahia"
3350,2000-10-01,"Bahia"
114,2000-11-01,"Bahia"
24,2000-12-01,"Bahia"
24,2001-01-01,"Bahia"
101,2001-02-01,"Bahia"
4,2001-03-01,"Bahia"
26,2001-04-01,"Bahia"
85,2001-05-01,"Bahia"
98,2001-06-01,"Bahia"
248,2001-07-01,"Bahia"
979,2001-08-01,"Bahia"
3964,2001-09-01,"Bahia"
1687,2001-10-01,"Bahia"
699,2001-11-01,"Bahia"
158,2001-12-01,"Bahia"
125,2002-01-01,"Bahia"
204,2002-02-01,"Bahia"
146,2002-03-01,"Bahia"
110,2002-04-01,"Bahia"
166,2002-05-01,"Bahia"
118,2002-06-01,"Bahia"
549,2002-07-01,"Bahia"
1827,2002-08-01,"Bahia"
6439,2002-09-01,"Bahia"
5414,2002-10-01,"Bahia"
1020,2002-11-01,"Bahia"
848,2002-12-01,"Bahia"
439,2003-01-01,"Bahia"
223,2003-02-01,"Bahia"
274,2003-03-01,"Bahia"
376,2003-04-01,"Bahia"
106,2003-05-01,"Bahia"
140,2003-06-01,"Bahia"
261,2003-07-01,"Bahia"
1039,2003-08-01,"Bahia"
8847,2003-09-01,"Bahia"
4264,2003-10-01,"Bahia"
533,2003-11-01,"Bahia"
710,2003-12-01,"Bahia"
158,2004-01-01,"Bahia"
122,2004-02-01,"Bahia"
115,2004-03-01,"Bahia"
89,2004-04-01,"Bahia"
124,2004-05-01,"Bahia"
289,2004-06-01,"Bahia"
310,2004-07-01,"Bahia"
1430,2004-08-01,"Bahia"
6433,2004-09-01,"Bahia"
4810,2004-10-01,"Bahia"
1736,2004-11-01,"Bahia"
423,2004-12-01,"Bahia"
303,2005-01-01,"Bahia"
143,2005-02-01,"Bahia"
158,2005-03-01,"Bahia"
76,2005-04-01,"Bahia"
120,2005-05-01,"Bahia"
211,2005-06-01,"Bahia"
269,2005-07-01,"Bahia"
948,2005-08-01,"Bahia"
4066,2005-09-01,"Bahia"
8405,2005-10-01,"Bahia"
1595,2005-11-01,"Bahia"
116,2005-12-01,"Bahia"
225,2006-01-01,"Bahia"
277,2006-02-01,"Bahia"
199,2006-03-01,"Bahia"
60,2006-04-01,"Bahia"
43,2006-05-01,"Bahia"
68,2006-06-01,"Bahia"
229,2006-07-01,"Bahia"
995,2006-08-01,"Bahia"
3006,2006-09-01,"Bahia"
2079,2006-10-01,"Bahia"
239,2006-11-01,"Bahia"
169,2006-12-01,"Bahia"
373,2007-01-01,"Bahia"
113,2007-02-01,"Bahia"
141,2007-03-01,"Bahia"
64,2007-04-01,"Bahia"
161,2007-05-01,"Bahia"
270,2007-06-01,"Bahia"
811,2007-07-01,"Bahia"
3734,2007-08-01,"Bahia"
7438,2007-09-01,"Bahia"
4981,2007-10-01,"Bahia"
2126,2007-11-01,"Bahia"
259,2007-12-01,"Bahia"
314,2008-01-01,"Bahia"
235,2008-02-01,"Bahia"
135,2008-03-01,"Bahia"
151,2008-04-01,"Bahia"
56,2008-05-01,"Bahia"
72,2008-06-01,"Bahia"
271,2008-07-01,"Bahia"
611,2008-08-01,"Bahia"
4837,2008-09-01,"Bahia"
7691,2008-10-01,"Bahia"
3175,2008-11-01,"Bahia"
52,2008-12-01,"Bahia"
177,2009-01-01,"Bahia"
117,2009-02-01,"Bahia"
249,2009-03-01,"Bahia"
40,2009-04-01,"Bahia"
34,2009-05-01,"Bahia"
92,2009-06-01,"Bahia"
321,2009-07-01,"Bahia"
439,2009-08-01,"Bahia"
3610,2009-09-01,"Bahia"
2552,2009-10-01,"Bahia"
402,2009-11-01,"Bahia"
308,2009-12-01,"Bahia"
297,2010-01-01,"Bahia"
206,2010-02-01,"Bahia"
156,2010-03-01,"Bahia"
103,2010-04-01,"Bahia"
198,2010-05-01,"Bahia"
192,2010-06-01,"Bahia"
519,2010-07-01,"Bahia"
2423,2010-08-01,"Bahia"
5323,2010-09-01,"Bahia"
5264,2010-10-01,"Bahia"
605,2010-11-01,"Bahia"
226,2010-12-01,"Bahia"
101,2011-01-01,"Bahia"
156,2011-02-01,"Bahia"
90,2011-03-01,"Bahia"
149,2011-04-01,"Bahia"
189,2011-05-01,"Bahia"
345,2011-06-01,"Bahia"
578,2011-07-01,"Bahia"
1795,2011-08-01,"Bahia"
7086,2011-09-01,"Bahia"
2166,2011-10-01,"Bahia"
176,2011-11-01,"Bahia"
230,2011-12-01,"Bahia"
179,2012-01-01,"Bahia"
200,2012-02-01,"Bahia"
404,2012-03-01,"Bahia"
396,2012-04-01,"Bahia"
326,2012-05-01,"Bahia"
385,2012-06-01,"Bahia"
906,2012-07-01,"Bahia"
1835,2012-08-01,"Bahia"
7495,2012-09-01,"Bahia"
4607,2012-10-01,"Bahia"
168,2012-11-01,"Bahia"
477,2012-12-01,"Bahia"
125,2013-01-01,"Bahia"
231,2013-02-01,"Bahia"
363,2013-03-01,"Bahia"
108,2013-04-01,"Bahia"
141,2013-05-01,"Bahia"
208,2013-06-01,"Bahia"
362,2013-07-01,"Bahia"
610,2013-08-01,"Bahia"
2681,2013-09-01,"Bahia"
1969,2013-10-01,"Bahia"
288,2013-11-01,"Bahia"
131,2013-12-01,"Bahia"
132,2014-01-01,"Bahia"
107,2014-02-01,"Bahia"
148,2014-03-01,"Bahia"
183,2014-04-01,"Bahia"
224,2014-05-01,"Bahia"
243,2014-06-01,"Bahia"
249,2014-07-01,"Bahia"
674,2014-08-01,"Bahia"
2604,2014-09-01,"Bahia"
2763,2014-10-01,"Bahia"
348,2014-11-01,"Bahia"
144,2014-12-01,"Bahia"
256,2015-01-01,"Bahia"
143,2015-02-01,"Bahia"
229,2015-03-01,"Bahia"
190,2015-04-01,"Bahia"
144,2015-05-01,"Bahia"
242,2015-06-01,"Bahia"
306,2015-07-01,"Bahia"
829,2015-08-01,"Bahia"
7956,2015-09-01,"Bahia"
4989,2015-10-01,"Bahia"
1705,2015-11-01,"Bahia"
1408,2015-12-01,"Bahia"
285,2016-01-01,"Bahia"
418,2016-02-01,"Bahia"
281,2016-03-01,"Bahia"
217,2016-04-01,"Bahia"
259,2016-05-01,"Bahia"
416,2016-06-01,"Bahia"
345,2016-07-01,"Bahia"
724,2016-08-01,"Bahia"
1819,2016-09-01,"Bahia"
1415,2016-10-01,"Bahia"
408,2016-11-01,"Bahia"
164,2016-12-01,"Bahia"
154,2017-01-01,"Bahia"
100,2017-02-01,"Bahia"
163,2017-03-01,"Bahia"
94,2017-04-01,"Bahia"
121,2017-05-01,"Bahia"
329,2017-06-01,"Bahia"
300,2017-07-01,"Bahia"
1018,2017-08-01,"Bahia"
1791,2017-09-01,"Bahia"
4005,2017-10-01,"Bahia"
174,2017-11-01,"Bahia"
0,1998-01-01,"Ceara"
0,1998-02-01,"Ceara"
0,1998-03-01,"Ceara"
0,1998-04-01,"Ceara"
0,1998-05-01,"Ceara"
1,1998-06-01,"Ceara"
76,1998-07-01,"Ceara"
93,1998-08-01,"Ceara"
590,1998-09-01,"Ceara"
1014,1998-10-01,"Ceara"
575,1998-11-01,"Ceara"
276,1998-12-01,"Ceara"
47,1999-01-01,"Ceara"
16,1999-02-01,"Ceara"
30,1999-03-01,"Ceara"
6,1999-04-01,"Ceara"
5,1999-05-01,"Ceara"
16,1999-06-01,"Ceara"
83,1999-07-01,"Ceara"
131,1999-08-01,"Ceara"
124,1999-09-01,"Ceara"
309,1999-10-01,"Ceara"
524,1999-11-01,"Ceara"
397,1999-12-01,"Ceara"
1,2000-01-01,"Ceara"
6,2000-02-01,"Ceara"
9,2000-03-01,"Ceara"
15,2000-04-01,"Ceara"
7,2000-05-01,"Ceara"
16,2000-06-01,"Ceara"
18,2000-07-01,"Ceara"
79,2000-08-01,"Ceara"
127,2000-09-01,"Ceara"
875,2000-10-01,"Ceara"
669,2000-11-01,"Ceara"
389,2000-12-01,"Ceara"
11,2001-01-01,"Ceara"
0,2001-02-01,"Ceara"
0,2001-03-01,"Ceara"
2,2001-04-01,"Ceara"
81,2001-05-01,"Ceara"
38,2001-06-01,"Ceara"
146,2001-07-01,"Ceara"
219,2001-08-01,"Ceara"
801,2001-09-01,"Ceara"
2045,2001-10-01,"Ceara"
2456,2001-11-01,"Ceara"
545,2001-12-01,"Ceara"
33,2002-01-01,"Ceara"
75,2002-02-01,"Ceara"
17,2002-03-01,"Ceara"
5,2002-04-01,"Ceara"
10,2002-05-01,"Ceara"
13,2002-06-01,"Ceara"
12,2002-07-01,"Ceara"
111,2002-08-01,"Ceara"
172,2002-09-01,"Ceara"
1606,2002-10-01,"Ceara"
2715,2002-11-01,"Ceara"
1787,2002-12-01,"Ceara"
264,2003-01-01,"Ceara"
9,2003-02-01,"Ceara"
3,2003-03-01,"Ceara"
3,2003-04-01,"Ceara"
0,2003-05-01,"Ceara"
2,2003-06-01,"Ceara"
14,2003-07-01,"Ceara"
109,2003-08-01,"Ceara"
384,2003-09-01,"Ceara"
1761,2003-10-01,"Ceara"
3327,2003-11-01,"Ceara"
2436,2003-12-01,"Ceara"
143,2004-01-01,"Ceara"
5,2004-02-01,"Ceara"
1,2004-03-01,"Ceara"
2,2004-04-01,"Ceara"
3,2004-05-01,"Ceara"
1,2004-06-01,"Ceara"
16,2004-07-01,"Ceara"
61,2004-08-01,"Ceara"
144,2004-09-01,"Ceara"
1217,2004-10-01,"Ceara"
2900,2004-11-01,"Ceara"
3158,2004-12-01,"Ceara"
384,2005-01-01,"Ceara"
25,2005-02-01,"Ceara"
5,2005-03-01,"Ceara"
4,2005-04-01,"Ceara"
1,2005-05-01,"Ceara"
6,2005-06-01,"Ceara"
14,2005-07-01,"Ceara"
51,2005-08-01,"Ceara"
185,2005-09-01,"Ceara"
1378,2005-10-01,"Ceara"
2483,2005-11-01,"Ceara"
1360,2005-12-01,"Ceara"
211,2006-01-01,"Ceara"
23,2006-02-01,"Ceara"
3,2006-03-01,"Ceara"
1,2006-04-01,"Ceara"
0,2006-05-01,"Ceara"
0,2006-06-01,"Ceara"
1,2006-07-01,"Ceara"
50,2006-08-01,"Ceara"
237,2006-09-01,"Ceara"
581,2006-10-01,"Ceara"
1012,2006-11-01,"Ceara"
1161,2006-12-01,"Ceara"
304,2007-01-01,"Ceara"
3,2007-02-01,"Ceara"
2,2007-03-01,"Ceara"
1,2007-04-01,"Ceara"
0,2007-05-01,"Ceara"
1,2007-06-01,"Ceara"
11,2007-07-01,"Ceara"
182,2007-08-01,"Ceara"
241,2007-09-01,"Ceara"
964,2007-10-01,"Ceara"
1443,2007-11-01,"Ceara"
1177,2007-12-01,"Ceara"
166,2008-01-01,"Ceara"
12,2008-02-01,"Ceara"
2,2008-03-01,"Ceara"
0,2008-04-01,"Ceara"
0,2008-05-01,"Ceara"
1,2008-06-01,"Ceara"
3,2008-07-01,"Ceara"
32,2008-08-01,"Ceara"
177,2008-09-01,"Ceara"
816,2008-10-01,"Ceara"
1753,2008-11-01,"Ceara"
1655,2008-12-01,"Ceara"
347,2009-01-01,"Ceara"
8,2009-02-01,"Ceara"
3,2009-03-01,"Ceara"
0,2009-04-01,"Ceara"
0,2009-05-01,"Ceara"
0,2009-06-01,"Ceara"
7,2009-07-01,"Ceara"
26,2009-08-01,"Ceara"
101,2009-09-01,"Ceara"
435,2009-10-01,"Ceara"
1653,2009-11-01,"Ceara"
1987,2009-12-01,"Ceara"
288,2010-01-01,"Ceara"
63,2010-02-01,"Ceara"
40,2010-03-01,"Ceara"
7,2010-04-01,"Ceara"
2,2010-05-01,"Ceara"
3,2010-06-01,"Ceara"
44,2010-07-01,"Ceara"
202,2010-08-01,"Ceara"
357,2010-09-01,"Ceara"
502,2010-10-01,"Ceara"
1652,2010-11-01,"Ceara"
578,2010-12-01,"Ceara"
32,2011-01-01,"Ceara"
2,2011-02-01,"Ceara"
6,2011-03-01,"Ceara"
1,2011-04-01,"Ceara"
0,2011-05-01,"Ceara"
5,2011-06-01,"Ceara"
18,2011-07-01,"Ceara"
53,2011-08-01,"Ceara"
239,2011-09-01,"Ceara"
415,2011-10-01,"Ceara"
1561,2011-11-01,"Ceara"
1441,2011-12-01,"Ceara"
273,2012-01-01,"Ceara"
41,2012-02-01,"Ceara"
10,2012-03-01,"Ceara"
2,2012-04-01,"Ceara"
19,2012-05-01,"Ceara"
28,2012-06-01,"Ceara"
50,2012-07-01,"Ceara"
278,2012-08-01,"Ceara"
609,2012-09-01,"Ceara"
1104,2012-10-01,"Ceara"
995,2012-11-01,"Ceara"
631,2012-12-01,"Ceara"
103,2013-01-01,"Ceara"
49,2013-02-01,"Ceara"
17,2013-03-01,"Ceara"
4,2013-04-01,"Ceara"
4,2013-05-01,"Ceara"
5,2013-06-01,"Ceara"
4,2013-07-01,"Ceara"
32,2013-08-01,"Ceara"
177,2013-09-01,"Ceara"
466,2013-10-01,"Ceara"
1081,2013-11-01,"Ceara"
956,2013-12-01,"Ceara"
115,2014-01-01,"Ceara"
18,2014-02-01,"Ceara"
6,2014-03-01,"Ceara"
4,2014-04-01,"Ceara"
4,2014-05-01,"Ceara"
19,2014-06-01,"Ceara"
47,2014-07-01,"Ceara"
155,2014-08-01,"Ceara"
155,2014-09-01,"Ceara"
517,2014-10-01,"Ceara"
829,2014-11-01,"Ceara"
643,2014-12-01,"Ceara"
207,2015-01-01,"Ceara"
25,2015-02-01,"Ceara"
20,2015-03-01,"Ceara"
3,2015-04-01,"Ceara"
17,2015-05-01,"Ceara"
22,2015-06-01,"Ceara"
25,2015-07-01,"Ceara"
127,2015-08-01,"Ceara"
214,2015-09-01,"Ceara"
658,2015-10-01,"Ceara"
1081,2015-11-01,"Ceara"
1021,2015-12-01,"Ceara"
100,2016-01-01,"Ceara"
13,2016-02-01,"Ceara"
4,2016-03-01,"Ceara"
10,2016-04-01,"Ceara"
8,2016-05-01,"Ceara"
45,2016-06-01,"Ceara"
124,2016-07-01,"Ceara"
293,2016-08-01,"Ceara"
370,2016-09-01,"Ceara"
1310,2016-10-01,"Ceara"
1328,2016-11-01,"Ceara"
819,2016-12-01,"Ceara"
91,2017-01-01,"Ceara"
9,2017-02-01,"Ceara"
4,2017-03-01,"Ceara"
6,2017-04-01,"Ceara"
9,2017-05-01,"Ceara"
23,2017-06-01,"Ceara"
26,2017-07-01,"Ceara"
121,2017-08-01,"Ceara"
505,2017-09-01,"Ceara"
949,2017-10-01,"Ceara"
812,2017-11-01,"Ceara"
0,1998-01-01,"Distrito Federal"
0,1998-02-01,"Distrito Federal"
0,1998-03-01,"Distrito Federal"
0,1998-04-01,"Distrito Federal"
0,1998-05-01,"Distrito Federal"
2,1998-06-01,"Distrito Federal"
17,1998-07-01,"Distrito Federal"
48,1998-08-01,"Distrito Federal"
33,1998-09-01,"Distrito Federal"
3,1998-10-01,"Distrito Federal"
0,1998-11-01,"Distrito Federal"
0,1998-12-01,"Distrito Federal"
0,1999-01-01,"Distrito Federal"
2,1999-02-01,"Distrito Federal"
0,1999-03-01,"Distrito Federal"
0,1999-04-01,"Distrito Federal"
0,1999-05-01,"Distrito Federal"
3,1999-06-01,"Distrito Federal"
4,1999-07-01,"Distrito Federal"
16,1999-08-01,"Distrito Federal"
12,1999-09-01,"Distrito Federal"
8,1999-10-01,"Distrito Federal"
1,1999-11-01,"Distrito Federal"
0,1999-12-01,"Distrito Federal"
0,2000-01-01,"Distrito Federal"
0,2000-02-01,"Distrito Federal"
0,2000-03-01,"Distrito Federal"
0,2000-04-01,"Distrito Federal"
2,2000-05-01,"Distrito Federal"
1,2000-06-01,"Distrito Federal"
15,2000-07-01,"Distrito Federal"
9,2000-08-01,"Distrito Federal"
3,2000-09-01,"Distrito Federal"
18,2000-10-01,"Distrito Federal"
0,2000-11-01,"Distrito Federal"
0,2000-12-01,"Distrito Federal"
0,2001-01-01,"Distrito Federal"
1,2001-02-01,"Distrito Federal"
0,2001-03-01,"Distrito Federal"
0,2001-04-01,"Distrito Federal"
0,2001-05-01,"Distrito Federal"
3,2001-06-01,"Distrito Federal"
22,2001-07-01,"Distrito Federal"
25,2001-08-01,"Distrito Federal"
12,2001-09-01,"Distrito Federal"
0,2001-10-01,"Distrito Federal"
0,2001-11-01,"Distrito Federal"
1,2001-12-01,"Distrito Federal"
0,2002-01-01,"Distrito Federal"
0,2002-02-01,"Distrito Federal"
0,2002-03-01,"Distrito Federal"
1,2002-04-01,"Distrito Federal"
1,2002-05-01,"Distrito Federal"
7,2002-06-01,"Distrito Federal"
33,2002-07-01,"Distrito Federal"
53,2002-08-01,"Distrito Federal"
33,2002-09-01,"Distrito Federal"
19,2002-10-01,"Distrito Federal"
1,2002-11-01,"Distrito Federal"
1,2002-12-01,"Distrito Federal"
0,2003-01-01,"Distrito Federal"
1,2003-02-01,"Distrito Federal"
0,2003-03-01,"Distrito Federal"
0,2003-04-01,"Distrito Federal"
0,2003-05-01,"Distrito Federal"
11,2003-06-01,"Distrito Federal"
19,2003-07-01,"Distrito Federal"
36,2003-08-01,"Distrito Federal"
17,2003-09-01,"Distrito Federal"
12,2003-10-01,"Distrito Federal"
0,2003-11-01,"Distrito Federal"
0,2003-12-01,"Distrito Federal"
0,2004-01-01,"Distrito Federal"
0,2004-02-01,"Distrito Federal"
0,2004-03-01,"Distrito Federal"
1,2004-04-01,"Distrito Federal"
9,2004-05-01,"Distrito Federal"
6,2004-06-01,"Distrito Federal"
37,2004-07-01,"Distrito Federal"
108,2004-08-01,"Distrito Federal"
100,2004-09-01,"Distrito Federal"
18,2004-10-01,"Distrito Federal"
0,2004-11-01,"Distrito Federal"
0,2004-12-01,"Distrito Federal"
0,2005-01-01,"Distrito Federal"
0,2005-02-01,"Distrito Federal"
0,2005-03-01,"Distrito Federal"
0,2005-04-01,"Distrito Federal"
2,2005-05-01,"Distrito Federal"
3,2005-06-01,"Distrito Federal"
24,2005-07-01,"Distrito Federal"
20,2005-08-01,"Distrito Federal"
23,2005-09-01,"Distrito Federal"
18,2005-10-01,"Distrito Federal"
2,2005-11-01,"Distrito Federal"
0,2005-12-01,"Distrito Federal"
0,2006-01-01,"Distrito Federal"
0,2006-02-01,"Distrito Federal"
0,2006-03-01,"Distrito Federal"
0,2006-04-01,"Distrito Federal"
3,2006-05-01,"Distrito Federal"
2,2006-06-01,"Distrito Federal"
10,2006-07-01,"Distrito Federal"
40,2006-08-01,"Distrito Federal"
20,2006-09-01,"Distrito Federal"
1,2006-10-01,"Distrito Federal"
0,2006-11-01,"Distrito Federal"
0,2006-12-01,"Distrito Federal"
0,2007-01-01,"Distrito Federal"
0,2007-02-01,"Distrito Federal"
1,2007-03-01,"Distrito Federal"
0,2007-04-01,"Distrito Federal"
4,2007-05-01,"Distrito Federal"
21,2007-06-01,"Distrito Federal"
25,2007-07-01,"Distrito Federal"
137,2007-08-01,"Distrito Federal"
73,2007-09-01,"Distrito Federal"
13,2007-10-01,"Distrito Federal"
0,2007-11-01,"Distrito Federal"
0,2007-12-01,"Distrito Federal"
0,2008-01-01,"Distrito Federal"
0,2008-02-01,"Distrito Federal"
2,2008-03-01,"Distrito Federal"
1,2008-04-01,"Distrito Federal"
6,2008-05-01,"Distrito Federal"
0,2008-06-01,"Distrito Federal"
12,2008-07-01,"Distrito Federal"
30,2008-08-01,"Distrito Federal"
54,2008-09-01,"Distrito Federal"
6,2008-10-01,"Distrito Federal"
4,2008-11-01,"Distrito Federal"
0,2008-12-01,"Distrito Federal"
1,2009-01-01,"Distrito Federal"
0,2009-02-01,"Distrito Federal"
0,2009-03-01,"Distrito Federal"
0,2009-04-01,"Distrito Federal"
9,2009-05-01,"Distrito Federal"
4,2009-06-01,"Distrito Federal"
33,2009-07-01,"Distrito Federal"
37,2009-08-01,"Distrito Federal"
5,2009-09-01,"Distrito Federal"
3,2009-10-01,"Distrito Federal"
0,2009-11-01,"Distrito Federal"
0,2009-12-01,"Distrito Federal"
2,2010-01-01,"Distrito Federal"
4,2010-02-01,"Distrito Federal"
0,2010-03-01,"Distrito Federal"
8,2010-04-01,"Distrito Federal"
23,2010-05-01,"Distrito Federal"
21,2010-06-01,"Distrito Federal"
85,2010-07-01,"Distrito Federal"
159,2010-08-01,"Distrito Federal"
196,2010-09-01,"Distrito Federal"
6,2010-10-01,"Distrito Federal"
0,2010-11-01,"Distrito Federal"
1,2010-12-01,"Distrito Federal"
2,2011-01-01,"Distrito Federal"
1,2011-02-01,"Distrito Federal"
0,2011-03-01,"Distrito Federal"
1,2011-04-01,"Distrito Federal"
3,2011-05-01,"Distrito Federal"
18,2011-06-01,"Distrito Federal"
53,2011-07-01,"Distrito Federal"
61,2011-08-01,"Distrito Federal"
133,2011-09-01,"Distrito Federal"
0,2011-10-01,"Distrito Federal"
1,2011-11-01,"Distrito Federal"
0,2011-12-01,"Distrito Federal"
0,2012-01-01,"Distrito Federal"
0,2012-02-01,"Distrito Federal"
0,2012-03-01,"Distrito Federal"
4,2012-04-01,"Distrito Federal"
0,2012-05-01,"Distrito Federal"
6,2012-06-01,"Distrito Federal"
29,2012-07-01,"Distrito Federal"
55,2012-08-01,"Distrito Federal"
64,2012-09-01,"Distrito Federal"
15,2012-10-01,"Distrito Federal"
0,2012-11-01,"Distrito Federal"
0,2012-12-01,"Distrito Federal"
0,2013-01-01,"Distrito Federal"
1,2013-02-01,"Distrito Federal"
1,2013-03-01,"Distrito Federal"
1,2013-04-01,"Distrito Federal"
2,2013-05-01,"Distrito Federal"
4,2013-06-01,"Distrito Federal"
22,2013-07-01,"Distrito Federal"
34,2013-08-01,"Distrito Federal"
31,2013-09-01,"Distrito Federal"
3,2013-10-01,"Distrito Federal"
0,2013-11-01,"Distrito Federal"
2,2013-12-01,"Distrito Federal"
0,2014-01-01,"Distrito Federal"
1,2014-02-01,"Distrito Federal"
1,2014-03-01,"Distrito Federal"
2,2014-04-01,"Distrito Federal"
9,2014-05-01,"Distrito Federal"
6,2014-06-01,"Distrito Federal"
27,2014-07-01,"Distrito Federal"
99,2014-08-01,"Distrito Federal"
72,2014-09-01,"Distrito Federal"
34,2014-10-01,"Distrito Federal"
0,2014-11-01,"Distrito Federal"
0,2014-12-01,"Distrito Federal"
1,2015-01-01,"Distrito Federal"
0,2015-02-01,"Distrito Federal"
0,2015-03-01,"Distrito Federal"
0,2015-04-01,"Distrito Federal"
2,2015-05-01,"Distrito Federal"
1,2015-06-01,"Distrito Federal"
15,2015-07-01,"Distrito Federal"
53,2015-08-01,"Distrito Federal"
76,2015-09-01,"Distrito Federal"
21,2015-10-01,"Distrito Federal"
3,2015-11-01,"Distrito Federal"
0,2015-12-01,"Distrito Federal"
1,2016-01-01,"Distrito Federal"
2,2016-02-01,"Distrito Federal"
1,2016-03-01,"Distrito Federal"
5,2016-04-01,"Distrito Federal"
15,2016-05-01,"Distrito Federal"
42,2016-06-01,"Distrito Federal"
79,2016-07-01,"Distrito Federal"
29,2016-08-01,"Distrito Federal"
58,2016-09-01,"Distrito Federal"
9,2016-10-01,"Distrito Federal"
1,2016-11-01,"Distrito Federal"
0,2016-12-01,"Distrito Federal"
1,2017-01-01,"Distrito Federal"
0,2017-02-01,"Distrito Federal"
0,2017-03-01,"Distrito Federal"
1,2017-04-01,"Distrito Federal"
6,2017-05-01,"Distrito Federal"
23,2017-06-01,"Distrito Federal"
44,2017-07-01,"Distrito Federal"
147,2017-08-01,"Distrito Federal"
122,2017-09-01,"Distrito Federal"
66,2017-10-01,"Distrito Federal"
0,2017-11-01,"Distrito Federal"
0,1998-01-01,"Espirito Santo"
0,1998-02-01,"Espirito Santo"
0,1998-03-01,"Espirito Santo"
0,1998-04-01,"Espirito Santo"
