year,number,date,month,state
"2001",2,2001-01-01,"March","Espirito Santo"
"2002",4,2002-01-01,"March","Espirito Santo"
"2003",28,2003-01-01,"March","Espirito Santo"
"2004",3,2004-01-01,"March","Espirito Santo"
"2005",3,2005-01-01,"March","Espirito Santo"
"2006",14,2006-01-01,"March","Espirito Santo"
"2007",9,2007-01-01,"March","Espirito Santo"
"2008",5,2008-01-01,"March","Espirito Santo"
"2009",11,2009-01-01,"March","Espirito Santo"
"2010",3,2010-01-01,"March","Espirito Santo"
"2011",5,2011-01-01,"March","Espirito Santo"
"2012",35,2012-01-01,"March","Espirito Santo"
"2013",13,2013-01-01,"March","Espirito Santo"
"2014",15,2014-01-01,"March","Espirito Santo"
"2015",25,2015-01-01,"March","Espirito Santo"
"2016",107,2016-01-01,"March","Espirito Santo"
"2017",9,2017-01-01,"March","Espirito Santo"
"1998",0,1998-01-01,"April","Espirito Santo"
"1999",2,1999-01-01,"April","Espirito Santo"
"2000",3,2000-01-01,"April","Espirito Santo"
"2001",2,2001-01-01,"April","Espirito Santo"
"2002",2,2002-01-01,"April","Espirito Santo"
"2003",22,2003-01-01,"April","Espirito Santo"
"2004",0,2004-01-01,"April","Espirito Santo"
"2005",4,2005-01-01,"April","Espirito Santo"
"2006",1,2006-01-01,"April","Espirito Santo"
"2007",2,2007-01-01,"April","Espirito Santo"
"2008",8,2008-01-01,"April","Espirito Santo"
"2009",8,2009-01-01,"April","Espirito Santo"
"2010",7,2010-01-01,"April","Espirito Santo"
"2011",3,2011-01-01,"April","Espirito Santo"
"2012",74,2012-01-01,"April","Espirito Santo"
"2013",16,2013-01-01,"April","Espirito Santo"
"2014",15,2014-01-01,"April","Espirito Santo"
"2015",33,2015-01-01,"April","Espirito Santo"
"2016",57,2016-01-01,"April","Espirito Santo"
"2017",7,2017-01-01,"April","Espirito Santo"
"1998",0,1998-01-01,"May","Espirito Santo"
"1999",16,1999-01-01,"May","Espirito Santo"
"2000",2,2000-01-01,"May","Espirito Santo"
"2001",8,2001-01-01,"May","Espirito Santo"
"2002",5,2002-01-01,"May","Espirito Santo"
"2003",1,2003-01-01,"May","Espirito Santo"
"2004",0,2004-01-01,"May","Espirito Santo"
"2005",5,2005-01-01,"May","Espirito Santo"
"2006",0,2006-01-01,"May","Espirito Santo"
"2007",1,2007-01-01,"May","Espirito Santo"
"2008",2,2008-01-01,"May","Espirito Santo"
"2009",7,2009-01-01,"May","Espirito Santo"
"2010",3,2010-01-01,"May","Espirito Santo"
"2011",2,2011-01-01,"May","Espirito Santo"
"2012",20,2012-01-01,"May","Espirito Santo"
"2013",14,2013-01-01,"May","Espirito Santo"
"2014",18,2014-01-01,"May","Espirito Santo"
"2015",17,2015-01-01,"May","Espirito Santo"
"2016",48,2016-01-01,"May","Espirito Santo"
"2017",10,2017-01-01,"May","Espirito Santo"
"1998",6,1998-01-01,"June","Espirito Santo"
"1999",6,1999-01-01,"June","Espirito Santo"
"2000",9,2000-01-01,"June","Espirito Santo"
"2001",9,2001-01-01,"June","Espirito Santo"
"2002",18,2002-01-01,"June","Espirito Santo"
"2003",19,2003-01-01,"June","Espirito Santo"
"2004",3,2004-01-01,"June","Espirito Santo"
"2005",8,2005-01-01,"June","Espirito Santo"
"2006",5,2006-01-01,"June","Espirito Santo"
"2007",4,2007-01-01,"June","Espirito Santo"
"2008",4,2008-01-01,"June","Espirito Santo"
"2009",12,2009-01-01,"June","Espirito Santo"
"2010",3,2010-01-01,"June","Espirito Santo"
"2011",7,2011-01-01,"June","Espirito Santo"
"2012",15,2012-01-01,"June","Espirito Santo"
"2013",22,2013-01-01,"June","Espirito Santo"
"2014",9,2014-01-01,"June","Espirito Santo"
"2015",18,2015-01-01,"June","Espirito Santo"
"2016",49,2016-01-01,"June","Espirito Santo"
"2017",37,2017-01-01,"June","Espirito Santo"
"1998",37,1998-01-01,"July","Espirito Santo"
"1999",9,1999-01-01,"July","Espirito Santo"
"2000",16,2000-01-01,"July","Espirito Santo"
"2001",12,2001-01-01,"July","Espirito Santo"
"2002",9,2002-01-01,"July","Espirito Santo"
"2003",27,2003-01-01,"July","Espirito Santo"
"2004",4,2004-01-01,"July","Espirito Santo"
"2005",9,2005-01-01,"July","Espirito Santo"
"2006",11,2006-01-01,"July","Espirito Santo"
"2007",13,2007-01-01,"July","Espirito Santo"
"2008",5,2008-01-01,"July","Espirito Santo"
"2009",25,2009-01-01,"July","Espirito Santo"
"2010",5,2010-01-01,"July","Espirito Santo"
"2011",18,2011-01-01,"July","Espirito Santo"
"2012",35,2012-01-01,"July","Espirito Santo"
"2013",20,2013-01-01,"July","Espirito Santo"
"2014",17,2014-01-01,"July","Espirito Santo"
"2015",30,2015-01-01,"July","Espirito Santo"
"2016",42,2016-01-01,"July","Espirito Santo"
"2017",3,2017-01-01,"July","Espirito Santo"
"1998",38,1998-01-01,"August","Espirito Santo"
"1999",60,1999-01-01,"August","Espirito Santo"
"2000",26,2000-01-01,"August","Espirito Santo"
"2001",30,2001-01-01,"August","Espirito Santo"
"2002",60,2002-01-01,"August","Espirito Santo"
"2003",118,2003-01-01,"August","Espirito Santo"
"2004",12,2004-01-01,"August","Espirito Santo"
"2005",12,2005-01-01,"August","Espirito Santo"
"2006",29,2006-01-01,"August","Espirito Santo"
"2007",82,2007-01-01,"August","Espirito Santo"
"2008",13,2008-01-01,"August","Espirito Santo"
"2009",17,2009-01-01,"August","Espirito Santo"
"2010",39,2010-01-01,"August","Espirito Santo"
"2011",93,2011-01-01,"August","Espirito Santo"
"2012",12,2012-01-01,"August","Espirito Santo"
"2013",53,2013-01-01,"August","Espirito Santo"
"2014",47,2014-01-01,"August","Espirito Santo"
"2015",35,2015-01-01,"August","Espirito Santo"
"2016",78,2016-01-01,"August","Espirito Santo"
"2017",30,2017-01-01,"August","Espirito Santo"
"1998",108,1998-01-01,"September","Espirito Santo"
"1999",64,1999-01-01,"September","Espirito Santo"
"2000",14,2000-01-01,"September","Espirito Santo"
"2001",38,2001-01-01,"September","Espirito Santo"
"2002",46,2002-01-01,"September","Espirito Santo"
"2003",252,2003-01-01,"September","Espirito Santo"
"2004",47,2004-01-01,"September","Espirito Santo"
"2005",8,2005-01-01,"September","Espirito Santo"
"2006",87,2006-01-01,"September","Espirito Santo"
"2007",63,2007-01-01,"September","Espirito Santo"
"2008",78,2008-01-01,"September","Espirito Santo"
"2009",57,2009-01-01,"September","Espirito Santo"
"2010",53,2010-01-01,"September","Espirito Santo"
"2011",108,2011-01-01,"September","Espirito Santo"
"2012",48,2012-01-01,"September","Espirito Santo"
"2013",30,2013-01-01,"September","Espirito Santo"
"2014",61,2014-01-01,"September","Espirito Santo"
"2015",228,2015-01-01,"September","Espirito Santo"
"2016",128,2016-01-01,"September","Espirito Santo"
"2017",58,2017-01-01,"September","Espirito Santo"
"1998",20,1998-01-01,"October","Espirito Santo"
"1999",23,1999-01-01,"October","Espirito Santo"
"2000",88,2000-01-01,"October","Espirito Santo"
"2001",19,2001-01-01,"October","Espirito Santo"
"2002",113,2002-01-01,"October","Espirito Santo"
"2003",159,2003-01-01,"October","Espirito Santo"
"2004",48,2004-01-01,"October","Espirito Santo"
"2005",62,2005-01-01,"October","Espirito Santo"
"2006",10,2006-01-01,"October","Espirito Santo"
"2007",79,2007-01-01,"October","Espirito Santo"
"2008",100,2008-01-01,"October","Espirito Santo"
"2009",13,2009-01-01,"October","Espirito Santo"
"2010",32,2010-01-01,"October","Espirito Santo"
"2011",38,2011-01-01,"October","Espirito Santo"
"2012",62,2012-01-01,"October","Espirito Santo"
"2013",37,2013-01-01,"October","Espirito Santo"
"2014",89,2014-01-01,"October","Espirito Santo"
"2015",307,2015-01-01,"October","Espirito Santo"
"2016",58,2016-01-01,"October","Espirito Santo"
"2017",56,2017-01-01,"October","Espirito Santo"
"1998",4,1998-01-01,"November","Espirito Santo"
"1999",9,1999-01-01,"November","Espirito Santo"
"2000",3,2000-01-01,"November","Espirito Santo"
"2001",3,2001-01-01,"November","Espirito Santo"
"2002",22,2002-01-01,"November","Espirito Santo"
"2003",49,2003-01-01,"November","Espirito Santo"
"2004",42,2004-01-01,"November","Espirito Santo"
"2005",0,2005-01-01,"November","Espirito Santo"
"2006",0,2006-01-01,"November","Espirito Santo"
"2007",112,2007-01-01,"November","Espirito Santo"
"2008",3,2008-01-01,"November","Espirito Santo"
"2009",18,2009-01-01,"November","Espirito Santo"
"2010",3,2010-01-01,"November","Espirito Santo"
"2011",6,2011-01-01,"November","Espirito Santo"
"2012",7,2012-01-01,"November","Espirito Santo"
"2013",11,2013-01-01,"November","Espirito Santo"
"2014",20,2014-01-01,"November","Espirito Santo"
"2015",141,2015-01-01,"November","Espirito Santo"
"2016",8,2016-01-01,"November","Espirito Santo"
"2017",3,2017-01-01,"November","Espirito Santo"
"1998",5,1998-01-01,"December","Espirito Santo"
"1999",0,1999-01-01,"December","Espirito Santo"
"2000",3,2000-01-01,"December","Espirito Santo"
"2001",1,2001-01-01,"December","Espirito Santo"
"2002",12,2002-01-01,"December","Espirito Santo"
"2003",18,2003-01-01,"December","Espirito Santo"
"2004",9,2004-01-01,"December","Espirito Santo"
"2005",5,2005-01-01,"December","Espirito Santo"
"2006",0,2006-01-01,"December","Espirito Santo"
"2007",14,2007-01-01,"December","Espirito Santo"
"2008",1,2008-01-01,"December","Espirito Santo"
"2009",32,2009-01-01,"December","Espirito Santo"
"2010",10,2010-01-01,"December","Espirito Santo"
"2011",1,2011-01-01,"December","Espirito Santo"
"2012",18,2012-01-01,"December","Espirito Santo"
"2013",9,2013-01-01,"December","Espirito Santo"
"2014",28,2014-01-01,"December","Espirito Santo"
"2015",61,2015-01-01,"December","Espirito Santo"
"2016",12,2016-01-01,"December","Espirito Santo"
"1998",0,1998-01-01,"January","Goias"
"1999",14,1999-01-01,"January","Goias"
"2000",10,2000-01-01,"January","Goias"
"2001",29,2001-01-01,"January","Goias"
"2002",12,2002-01-01,"January","Goias"
"2003",14,2003-01-01,"January","Goias"
"2004",10,2004-01-01,"January","Goias"
"2005",27,2005-01-01,"January","Goias"
"2006",85,2006-01-01,"January","Goias"
"2007",28,2007-01-01,"January","Goias"
"2008",23,2008-01-01,"January","Goias"
"2009",30,2009-01-01,"January","Goias"
"2010",59,2010-01-01,"January","Goias"
"2011",39,2011-01-01,"January","Goias"
"2012",21,2012-01-01,"January","Goias"
"2013",33,2013-01-01,"January","Goias"
"2014",80,2014-01-01,"January","Goias"
"2015",118,2015-01-01,"January","Goias"
"2016",52,2016-01-01,"January","Goias"
"2017",53,2017-01-01,"January","Goias"
"1998",0,1998-01-01,"February","Goias"
"1999",334,1999-01-01,"February","Goias"
"2000",11,2000-01-01,"February","Goias"
"2001",9,2001-01-01,"February","Goias"
"2002",9,2002-01-01,"February","Goias"
"2003",47,2003-01-01,"February","Goias"
"2004",11,2004-01-01,"February","Goias"
"2005",84,2005-01-01,"February","Goias"
"2006",21,2006-01-01,"February","Goias"
"2007",13,2007-01-01,"February","Goias"
"2008",25,2008-01-01,"February","Goias"
"2009",29,2009-01-01,"February","Goias"
"2010",86,2010-01-01,"February","Goias"
"2011",45,2011-01-01,"February","Goias"
"2012",37,2012-01-01,"February","Goias"
"2013",86,2013-01-01,"February","Goias"
"2014",44,2014-01-01,"February","Goias"
"2015",53,2015-01-01,"February","Goias"
"2016",117,2016-01-01,"February","Goias"
"2017",75,2017-01-01,"February","Goias"
"1998",0,1998-01-01,"March","Goias"
"1999",1,1999-01-01,"March","Goias"
"2000",4,2000-01-01,"March","Goias"
"2001",10,2001-01-01,"March","Goias"
"2002",48,2002-01-01,"March","Goias"
"2003",29,2003-01-01,"March","Goias"
"2004",36,2004-01-01,"March","Goias"
"2005",36,2005-01-01,"March","Goias"
"2006",29,2006-01-01,"March","Goias"
"2007",49,2007-01-01,"March","Goias"
"2008",20,2008-01-01,"March","Goias"
"2009",32,2009-01-01,"March","Goias"
"2010",65,2010-01-01,"March","Goias"
"2011",19,2011-01-01,"March","Goias"
"2012",57,2012-01-01,"March","Goias"
"2013",79,2013-01-01,"March","Goias"
"2014",80,2014-01-01,"March","Goias"
"2015",76,2015-01-01,"March","Goias"
"2016",136,2016-01-01,"March","Goias"
"2017",115,2017-01-01,"March","Goias"
"1998",0,1998-01-01,"April","Goias"
"1999",25,1999-01-01,"April","Goias"
"2000",16,2000-01-01,"April","Goias"
"2001",49,2001-01-01,"April","Goias"
"2002",78,2002-01-01,"April","Goias"
"2003",87,2003-01-01,"April","Goias"
"2004",32,2004-01-01,"April","Goias"
"2005",55,2005-01-01,"April","Goias"
"2006",22,2006-01-01,"April","Goias"
"2007",17,2007-01-01,"April","Goias"
"2008",36,2008-01-01,"April","Goias"
"2009",11,2009-01-01,"April","Goias"
"2010",105,2010-01-01,"April","Goias"
"2011",71,2011-01-01,"April","Goias"
"2012",89,2012-01-01,"April","Goias"
"2013",42,2013-01-01,"April","Goias"
"2014",138,2014-01-01,"April","Goias"
"2015",89,2015-01-01,"April","Goias"
"2016",167,2016-01-01,"April","Goias"
"2017",60,2017-01-01,"April","Goias"
"1998",0,1998-01-01,"May","Goias"
"1999",99,1999-01-01,"May","Goias"
"2000",58,2000-01-01,"May","Goias"
"2001",85,2001-01-01,"May","Goias"
"2002",171,2002-01-01,"May","Goias"
"2003",57,2003-01-01,"May","Goias"
"2004",157,2004-01-01,"May","Goias"
"2005",164,2005-01-01,"May","Goias"
"2006",33,2006-01-01,"May","Goias"
"2007",94,2007-01-01,"May","Goias"
"2008",41,2008-01-01,"May","Goias"
"2009",104,2009-01-01,"May","Goias"
"2010",239,2010-01-01,"May","Goias"
"2011",136,2011-01-01,"May","Goias"
"2012",103,2012-01-01,"May","Goias"
"2013",150,2013-01-01,"May","Goias"
"2014",210,2014-01-01,"May","Goias"
"2015",129,2015-01-01,"May","Goias"
"2016",233,2016-01-01,"May","Goias"
"2017",135,2017-01-01,"May","Goias"
"1998",172,1998-01-01,"June","Goias"
"1999",250,1999-01-01,"June","Goias"
"2000",222,2000-01-01,"June","Goias"
"2001",212,2001-01-01,"June","Goias"
"2002",302,2002-01-01,"June","Goias"
"2003",321,2003-01-01,"June","Goias"
"2004",422,2004-01-01,"June","Goias"
"2005",189,2005-01-01,"June","Goias"
"2006",70,2006-01-01,"June","Goias"
"2007",186,2007-01-01,"June","Goias"
"2008",55,2008-01-01,"June","Goias"
"2009",179,2009-01-01,"June","Goias"
"2010",278,2010-01-01,"June","Goias"
"2011",314,2011-01-01,"June","Goias"
"2012",245,2012-01-01,"June","Goias"
"2013",192,2013-01-01,"June","Goias"
"2014",318,2014-01-01,"June","Goias"
"2015",277,2015-01-01,"June","Goias"
"2016",289,2016-01-01,"June","Goias"
"2017",442,2017-01-01,"June","Goias"
"1998",512,1998-01-01,"July","Goias"
"1999",311,1999-01-01,"July","Goias"
"2000",332,2000-01-01,"July","Goias"
"2001",371,2001-01-01,"July","Goias"
"2002",686,2002-01-01,"July","Goias"
"2003",322,2003-01-01,"July","Goias"
"2004",778,2004-01-01,"July","Goias"
"2005",363,2005-01-01,"July","Goias"
"2006",169,2006-01-01,"July","Goias"
"2007",399,2007-01-01,"July","Goias"
"2008",193,2008-01-01,"July","Goias"
"2009",470,2009-01-01,"July","Goias"
"2010",941,2010-01-01,"July","Goias"
"2011",607,2011-01-01,"July","Goias"
"2012",564,2012-01-01,"July","Goias"
"2013",350,2013-01-01,"July","Goias"
"2014",446,2014-01-01,"July","Goias"
"2015",347,2015-01-01,"July","Goias"
"2016",837,2016-01-01,"July","Goias"
"2017",577,2017-01-01,"July","Goias"
"1998",2218,1998-01-01,"August","Goias"
"1999",1198,1999-01-01,"August","Goias"
"2000",925,2000-01-01,"August","Goias"
"2001",787,2001-01-01,"August","Goias"
"2002",1428,2002-01-01,"August","Goias"
"2003",902,2003-01-01,"August","Goias"
"2004",1498,2004-01-01,"August","Goias"
"2005",639,2005-01-01,"August","Goias"
"2006",588,2006-01-01,"August","Goias"
"2007",2382,2007-01-01,"August","Goias"
"2008",568,2008-01-01,"August","Goias"
"2009",647,2009-01-01,"August","Goias"
"2010",2914,2010-01-01,"August","Goias"
"2011",1613,2011-01-01,"August","Goias"
"2012",912,2012-01-01,"August","Goias"
"2013",488,2013-01-01,"August","Goias"
"2014",1255,2014-01-01,"August","Goias"
"2015",943,2015-01-01,"August","Goias"
"2016",1032,2016-01-01,"August","Goias"
"2017",1492,2017-01-01,"August","Goias"
"1998",2867,1998-01-01,"September","Goias"
"1999",1898,1999-01-01,"September","Goias"
"2000",1293,2000-01-01,"September","Goias"
"2001",1863,2001-01-01,"September","Goias"
"2002",3520,2002-01-01,"September","Goias"
"2003",1662,2003-01-01,"September","Goias"
"2004",2965,2004-01-01,"September","Goias"
"2005",1341,2005-01-01,"September","Goias"
"2006",1463,2006-01-01,"September","Goias"
"2007",3745,2007-01-01,"September","Goias"
"2008",1255,2008-01-01,"September","Goias"
"2009",685,2009-01-01,"September","Goias"
"2010",5075,2010-01-01,"September","Goias"
"2011",2259,2011-01-01,"September","Goias"
"2012",2452,2012-01-01,"September","Goias"
"2013",684,2013-01-01,"September","Goias"
"2014",1687,2014-01-01,"September","Goias"
"2015",2296,2015-01-01,"September","Goias"
"2016",1703,2016-01-01,"September","Goias"
"2017",3238,2017-01-01,"September","Goias"
"1998",1034,1998-01-01,"October","Goias"
"1999",743,1999-01-01,"October","Goias"
"2000",905,2000-01-01,"October","Goias"
"2001",479,2001-01-01,"October","Goias"
"2002",1367,2002-01-01,"October","Goias"
"2003",1183,2003-01-01,"October","Goias"
"2004",1275,2004-01-01,"October","Goias"
"2005",1717,2005-01-01,"October","Goias"
"2006",178,2006-01-01,"October","Goias"
"2007",1195,2007-01-01,"October","Goias"
"2008",1231,2008-01-01,"October","Goias"
"2009",367,2009-01-01,"October","Goias"
"2010",1227,2010-01-01,"October","Goias"
"2011",476,2011-01-01,"October","Goias"
"2012",1524,2012-01-01,"October","Goias"
"2013",606,2013-01-01,"October","Goias"
"2014",1947,2014-01-01,"October","Goias"
"2015",1807,2015-01-01,"October","Goias"
"2016",522,2016-01-01,"October","Goias"
"2017",2401,2017-01-01,"October","Goias"
"1998",47,1998-01-01,"November","Goias"
"1999",110,1999-01-01,"November","Goias"
"2000",26,2000-01-01,"November","Goias"
"2001",15,2001-01-01,"November","Goias"
"2002",192,2002-01-01,"November","Goias"
"2003",168,2003-01-01,"November","Goias"
"2004",291,2004-01-01,"November","Goias"
"2005",144,2005-01-01,"November","Goias"
"2006",91,2006-01-01,"November","Goias"
"2007",79,2007-01-01,"November","Goias"
"2008",90,2008-01-01,"November","Goias"
"2009",89,2009-01-01,"November","Goias"
"2010",67,2010-01-01,"November","Goias"
"2011",59,2011-01-01,"November","Goias"
"2012",57,2012-01-01,"November","Goias"
"2013",183,2013-01-01,"November","Goias"
"2014",181,2014-01-01,"November","Goias"
"2015",547,2015-01-01,"November","Goias"
"2016",123,2016-01-01,"November","Goias"
"2017",117,2017-01-01,"November","Goias"
"1998",13,1998-01-01,"December","Goias"
"1999",20,1999-01-01,"December","Goias"
"2000",6,2000-01-01,"December","Goias"
"2001",18,2001-01-01,"December","Goias"
"2002",115,2002-01-01,"December","Goias"
"2003",129,2003-01-01,"December","Goias"
"2004",56,2004-01-01,"December","Goias"
"2005",5,2005-01-01,"December","Goias"
"2006",7,2006-01-01,"December","Goias"
"2007",16,2007-01-01,"December","Goias"
"2008",6,2008-01-01,"December","Goias"
"2009",39,2009-01-01,"December","Goias"
"2010",48,2010-01-01,"December","Goias"
"2011",39,2011-01-01,"December","Goias"
"2012",93,2012-01-01,"December","Goias"
"2013",86,2013-01-01,"December","Goias"
"2014",68,2014-01-01,"December","Goias"
"2015",179,2015-01-01,"December","Goias"
"2016",64,2016-01-01,"December","Goias"
"1998",0,1998-01-01,"January","Maranhao"
"1999",54,1999-01-01,"January","Maranhao"
"2000",19,2000-01-01,"January","Maranhao"
"2001",29,2001-01-01,"January","Maranhao"
"2002",48,2002-01-01,"January","Maranhao"
"2003",436,2003-01-01,"January","Maranhao"
"2004",241,2004-01-01,"January","Maranhao"
"2005",450,2005-01-01,"January","Maranhao"
"2006",221,2006-01-01,"January","Maranhao"
"2007",428,2007-01-01,"January","Maranhao"
"2008",121,2008-01-01,"January","Maranhao"
"2009",240,2009-01-01,"January","Maranhao"
"2010",319,2010-01-01,"January","Maranhao"
"2011",124,2011-01-01,"January","Maranhao"
"2012",326,2012-01-01,"January","Maranhao"
"2013",209,2013-01-01,"January","Maranhao"
"2014",195,2014-01-01,"January","Maranhao"
"2015",494,2015-01-01,"January","Maranhao"
"2016",412,2016-01-01,"January","Maranhao"
"2017",187,2017-01-01,"January","Maranhao"
"1998",0,1998-01-01,"February","Maranhao"
"1999",6,1999-01-01,"February","Maranhao"
"2000",11,2000-01-01,"February","Maranhao"
"2001",1,2001-01-01,"February","Maranhao"
"2002",116,2002-01-01,"February","Maranhao"
"2003",11,2003-01-01,"February","Maranhao"
"2004",22,2004-01-01,"February","Maranhao"
"2005",56,2005-01-01,"February","Maranhao"
"2006",22,2006-01-01,"February","Maranhao"
"2007",13,2007-01-01,"February","Maranhao"
"2008",45,2008-01-01,"February","Maranhao"
"2009",20,2009-01-01,"February","Maranhao"
"2010",93,2010-01-01,"February","Maranhao"
"2011",9,2011-01-01,"February","Maranhao"
"2012",46,2012-01-01,"February","Maranhao"
"2013",62,2013-01-01,"February","Maranhao"
"2014",29,2014-01-01,"February","Maranhao"
"2015",95,2015-01-01,"February","Maranhao"
"2016",318,2016-01-01,"February","Maranhao"
"2017",47,2017-01-01,"February","Maranhao"
"1998",0,1998-01-01,"March","Maranhao"
"1999",17,1999-01-01,"March","Maranhao"
"2000",6,2000-01-01,"March","Maranhao"
"2001",0,2001-01-01,"March","Maranhao"
"2002",16,2002-01-01,"March","Maranhao"
"2003",16,2003-01-01,"March","Maranhao"
"2004",18,2004-01-01,"March","Maranhao"
"2005",9,2005-01-01,"March","Maranhao"
"2006",14,2006-01-01,"March","Maranhao"
"2007",52,2007-01-01,"March","Maranhao"
"2008",4,2008-01-01,"March","Maranhao"
"2009",33,2009-01-01,"March","Maranhao"
"2010",82,2010-01-01,"March","Maranhao"
"2011",22,2011-01-01,"March","Maranhao"
"2012",49,2012-01-01,"March","Maranhao"
"2013",30,2013-01-01,"March","Maranhao"
"2014",59,2014-01-01,"March","Maranhao"
"2015",53,2015-01-01,"March","Maranhao"
"2016",113,2016-01-01,"March","Maranhao"
"2017",32,2017-01-01,"March","Maranhao"
"1998",0,1998-01-01,"April","Maranhao"
"1999",4,1999-01-01,"April","Maranhao"
"2000",6,2000-01-01,"April","Maranhao"
"2001",2,2001-01-01,"April","Maranhao"
"2002",28,2002-01-01,"April","Maranhao"
"2003",79,2003-01-01,"April","Maranhao"
"2004",44,2004-01-01,"April","Maranhao"
"2005",43,2005-01-01,"April","Maranhao"
"2006",9,2006-01-01,"April","Maranhao"
"2007",5,2007-01-01,"April","Maranhao"
"2008",26,2008-01-01,"April","Maranhao"
"2009",14,2009-01-01,"April","Maranhao"
"2010",128,2010-01-01,"April","Maranhao"
"2011",37,2011-01-01,"April","Maranhao"
"2012",97,2012-01-01,"April","Maranhao"
"2013",62,2013-01-01,"April","Maranhao"
"2014",78,2014-01-01,"April","Maranhao"
"2015",119,2015-01-01,"April","Maranhao"
"2016",113,2016-01-01,"April","Maranhao"
"2017",91,2017-01-01,"April","Maranhao"
"1998",0,1998-01-01,"May","Maranhao"
"1999",3,1999-01-01,"May","Maranhao"
"2000",28,2000-01-01,"May","Maranhao"
"2001",21,2001-01-01,"May","Maranhao"
"2002",71,2002-01-01,"May","Maranhao"
"2003",60,2003-01-01,"May","Maranhao"
"2004",145,2004-01-01,"May","Maranhao"
"2005",74,2005-01-01,"May","Maranhao"
"2006",5,2006-01-01,"May","Maranhao"
"2007",73,2007-01-01,"May","Maranhao"
"2008",26,2008-01-01,"May","Maranhao"
"2009",19,2009-01-01,"May","Maranhao"
"2010",273,2010-01-01,"May","Maranhao"
"2011",73,2011-01-01,"May","Maranhao"
"2012",286,2012-01-01,"May","Maranhao"
"2013",100,2013-01-01,"May","Maranhao"
"2014",148,2014-01-01,"May","Maranhao"
"2015",194,2015-01-01,"May","Maranhao"
"2016",206,2016-01-01,"May","Maranhao"
"2017",142,2017-01-01,"May","Maranhao"
"1998",78,1998-01-01,"June","Maranhao"
"1999",32,1999-01-01,"June","Maranhao"
"2000",94,2000-01-01,"June","Maranhao"
"2001",100,2001-01-01,"June","Maranhao"
"2002",230,2002-01-01,"June","Maranhao"
"2003",338,2003-01-01,"June","Maranhao"
"2004",706,2004-01-01,"June","Maranhao"
"2005",529,2005-01-01,"June","Maranhao"
"2006",131,2006-01-01,"June","Maranhao"
"2007",515,2007-01-01,"June","Maranhao"
"2008",235,2008-01-01,"June","Maranhao"
"2009",279,2009-01-01,"June","Maranhao"
"2010",494,2010-01-01,"June","Maranhao"
"2011",602,2011-01-01,"June","Maranhao"
"2012",915,2012-01-01,"June","Maranhao"
"2013",498,2013-01-01,"June","Maranhao"
"2014",812,2014-01-01,"June","Maranhao"
"2015",887,2015-01-01,"June","Maranhao"
"2016",709,2016-01-01,"June","Maranhao"
"2017",885,2017-01-01,"June","Maranhao"
"1998",274,1998-01-01,"July","Maranhao"
"1999",258,1999-01-01,"July","Maranhao"
"2000",233,2000-01-01,"July","Maranhao"
"2001",549,2001-01-01,"July","Maranhao"
"2002",1271,2002-01-01,"July","Maranhao"
"2003",1103,2003-01-01,"July","Maranhao"
"2004",1366,2004-01-01,"July","Maranhao"
"2005",1152,2005-01-01,"July","Maranhao"
"2006",512,2006-01-01,"July","Maranhao"
"2007",1205,2007-01-01,"July","Maranhao"
"2008",502,2008-01-01,"July","Maranhao"
"2009",972,2009-01-01,"July","Maranhao"
"2010",2323,2010-01-01,"July","Maranhao"
"2011",1024,2011-01-01,"July","Maranhao"
"2012",3548,2012-01-01,"July","Maranhao"
"2013",1111,2013-01-01,"July","Maranhao"
"2014",2068,2014-01-01,"July","Maranhao"
"2015",1642,2015-01-01,"July","Maranhao"
"2016",2096,2016-01-01,"July","Maranhao"
"2017",2521,2017-01-01,"July","Maranhao"
"1998",1176,1998-01-01,"August","Maranhao"
"1999",895,1999-01-01,"August","Maranhao"
"2000",839,2000-01-01,"August","Maranhao"
"2001",2037,2001-01-01,"August","Maranhao"
"2002",3481,2002-01-01,"August","Maranhao"
"2003",2023,2003-01-01,"August","Maranhao"
"2004",1889,2004-01-01,"August","Maranhao"
"2005",2239,2005-01-01,"August","Maranhao"
"2006",1382,2006-01-01,"August","Maranhao"
"2007",8409,2007-01-01,"August","Maranhao"
"2008",713,2008-01-01,"August","Maranhao"
"2009",1766,2009-01-01,"August","Maranhao"
"2010",6353,2010-01-01,"August","Maranhao"
"2011",2138,2011-01-01,"August","Maranhao"
"2012",10395,2012-01-01,"August","Maranhao"
"2013",2098,2013-01-01,"August","Maranhao"
"2014",5592,2014-01-01,"August","Maranhao"
"2015",5428,2015-01-01,"August","Maranhao"
"2016",3723,2016-01-01,"August","Maranhao"
"2017",3875,2017-01-01,"August","Maranhao"
"1998",3935,1998-01-01,"September","Maranhao"
"1999",1739,1999-01-01,"September","Maranhao"
"2000",1365,2000-01-01,"September","Maranhao"
"2001",4618,2001-01-01,"September","Maranhao"
"2002",3181,2002-01-01,"September","Maranhao"
"2003",5878,2003-01-01,"September","Maranhao"
"2004",4673,2004-01-01,"September","Maranhao"
"2005",6292,2005-01-01,"September","Maranhao"
"2006",2907,2006-01-01,"September","Maranhao"
"2007",8524,2007-01-01,"September","Maranhao"
"2008",2761,2008-01-01,"September","Maranhao"
"2009",2404,2009-01-01,"September","Maranhao"
"2010",9795,2010-01-01,"September","Maranhao"
